Maker_ID,Original_Data,Maker_Type,Actor_Type,Organisation_Name,Title,Initials,Surname,First_name,Suffix,Disambiguation_Numeral,Label,VIAF_URI,Wikidata_URI,Alt_name1,Alt_name2,Alt_name3,Alt_name4,Alt_name5,Alt_name6,Alt_name7,Misc_Info
M-25,Makers ref: 25 | Surname: BARCLAY | First name: | Alt name: | Date 1 qual: a | Date 1: 1700 | Date 2 qual: a | Date 2: 1700 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: D | Count stat: y | Adv trade 1: Spec M | Adv trade 2:,Person,Maker,,,,Barclay,,,,Barclay,,,,,,,,,,

M-26,"Makers ref: 26 | Surname: BARCLAY | First name: Hugh | Alt name: | Date 1 qual: w | Date 1: 1727 | Date 2 qual: d | Date 2: 1749 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: D | Count stat: y | Adv trade 1: Watch M, Optical IM | Adv trade 2:",Person,Maker,,,,Barclay,Hugh,,,Hugh Barclay,,,,,,,,,,

M-27,Makers ref: 27 | Surname: BARCLAY | First name: William | Alt name: | Date 1 qual: w | Date 1: 1731 | Date 2 qual: d | Date 2: 1758 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: D | Count stat: y | Adv trade 1: Optical IM | Adv trade 2:,Person,Maker,,,,Barclay,William,,,William Barclay,,,,,,,,,,

M-28,Makers ref: 28 | Surname: BARELLI & CO. | First name: Joseph | Alt name: | Date 1 qual: a | Date 1: 1800 | Date 2 qual: a | Date 2: 1800 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: 0 | Mig town: P | Count stat: y | Adv trade 1: | Adv trade 2:,Organisation,Maker,Joseph Barelli & Co.,,,,,,,Joseph Barelli & Co.,,,,,,,,,,

M-29,"Makers ref: 29 | Surname: BARNETT | First name: Thomas | Alt name: | Date 1 qual: w | Date 1: 1789 | Date 2 qual: w | Date 2: 1810 | Misc info 1: Pat.1802 Aerating fluids; said to be in workhouse | Misc info 2: 1816; b.apt Excise; fr in SMC by purchase;b.c.1768; fr SMC by purchase | Misc info 3: | Misc info 4: | Guild: Spectaclemakers, fr 1789 | Mig town: L | Count stat: y | Adv trade 1: Math IM, Phil IM, Optical IM, Optician | Adv trade 2:",Person,Maker,,,,Barnett,Thomas,,,Thomas Barnett,,,,,,,,,,"Pat.1802 Aerating fluids; said to be in workhouse | 1816; b.apt Excise; fr in SMC by purchase;b.c.1768; fr SMC by purchase | Spectaclemakers, fr 1789"

M-30,"Makers ref: 30 | Surname: BASS | First name: George | Alt name: | Date 1 qual: w | Date 1: 1723 | Date 2 qual: w | Date 2: 1768 | Misc info 1: Master SMC 1747-1748, 1754-1758; d in or soon | Misc info 2: after 1768; petitioner against Dollond's patent | Misc info 3: | Misc info 4: | Guild: Spectaclemakers, fr 1716 | Mig town: L | Count stat: y | Adv trade 1: Optical IM, supplied lenses to the trade | Adv trade 2:",Person,Maker,,,,Bass,George,,,George Bass,,,,,,,,,,"Master SMC 1747-1748, 1754-1758; d in or soon | after 1768; petitioner against Dollond's patent | Spectaclemakers, fr 1716"

M-31,"Makers ref: 31 | Surname: COURT | First name: William | Alt name: | Date 1 qual: w | Date 1: 1690 | Date 2 qual: w | Date 2: 1695 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: Book S, Math IS | Adv trade 2:",Person,Maker,,,,Court,William,,,William Court,,,,,,,,,,Member of an unknown guild

M-32,Makers ref: 32 | Surname: BAYLEY | First name: | Alt name: | Date 1 qual: w | Date 1: 1660 | Date 2 qual: w | Date 2: 1671 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: Lens Grinder | Adv trade 2:,Person,Maker,,,,Bayley,,,,Bayley,,,,,,,,,,Member of an unknown guild

M-33,Makers ref: 33 | Surname: BAYLEY | First name: James | Alt name: | Date 1 qual: w | Date 1: 1790 | Date 2 qual: w | Date 2: 1790 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: Phil IM | Adv trade 2:,Person,Maker,,,,Bayley,James,,,James Bayley,,,,,,,,,,Member of an unknown guild

M-34,"Makers ref: 34 | Surname: BECK | First name: George | Alt name: | Date 1 qual: w | Date 1: 1780 | Date 2 qual: a | Date 2: 1820 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: 0 | Count stat: y | Adv trade 1: Inventor of surveying sextant, pat.1780 | Adv trade 2:",Person,Maker,,,,Beck,George,,,George Beck,,,,,,,,,,

