relation_id,target_maker_id,is_auto_disambiguation
6809,2004,
19572,9312,
18739,3311,
14666,5493,
3535,733,
6054,1751,
13246,4595,
2111,665,
6009,2700,
10391,3426,
5893,245,
207,2709,
13029,4500,
10250,2379,
4598,1710,
16306,10277,
14733,3557,
13829,5003,
17164,5579,
9555,2868,
11676,4349,
4368,5438,
16252,6519,
13660,3518,
5677,2126,
4655,924,
20790,8231,
18729,6569,
12568,7097,
20843,10266,
13740,4945,
6470,1886,
5350,1390,1
16662,5039,
12161,9079,
13958,1353,
1841,826,
5614,5183,
20579,4074,
1579,1491,
1166,315,1
19997,1493,
18953,4002,
4223,4861,
2029,1045,
16622,4132,
5696,2310,
11181,741,
2277,494,
6800,3470,
16785,7019,
20095,10068,
6613,1935,
15864,4692,
4672,1150,
14138,2170,
19449,4110,
6637,752,
10038,3096,1
17242,7501,
12405,4409,
16072,9187,
10136,3130,
17733,4288,
14908,2856,
6065,3008,
15283,3633,
3930,4294,
13448,6248,
5246,184,
15284,3823,
9543,1572,
11244,3611,
5026,3488,
12885,4233,
13733,4948,
8727,2880,
16107,2809,
11278,3647,
4262,968,
7307,812,
10751,7957,
7159,4169,
10141,3130,
13667,9019,
18632,5735,
14096,7027,
10244,3193,
15288,5184,
16812,9948,
19949,5915,
13900,5071,
18523,2376,
12489,1619,
19709,5573,
15737,3513,
17167,4444,
3099,7188,
3285,5,
2951,182,
2485,293,
3463,4299,
2001,2783,
2427,355,
785,184,
8641,2467,
3924,27,
13090,165,
5729,1580,
6327,1823,
2688,423,
12049,1978,
7940,2438,
1970,410,
4185,8777,
2455,675,
19767,5996,
15922,4715,
20146,7187,
2533,6077,
2860,3526,
14180,2482,
6515,1904,
3785,2216,
7850,2360,
5663,484,
7838,2459,
19573,202,
16955,8867,
3677,788,
6057,1749,
13247,675,
9191,2774,
6037,5728,
18919,8969,
10392,3305,
2890,790,
13030,4484,
5635,1917,
4643,2056,
14045,3282,
4576,783,
2132,4254,
14734,3557,
9556,3382,
19726,5903,
5709,605,
4656,1144,
10922,2592,
16387,6622,
13839,4744,
17268,5496,
2279,1022,
12805,2256,
16422,9107,
13948,5108,
6600,2274,
59,438,
20791,6502,
13741,4946,
5622,1522,
2823,207,
560,4050,1
1580,1486,
12570,3500,
5707,1962,
12162,3237,
12056,1240,
6802,2559,
20847,9686,
6614,840,
2703,1971,
7396,2867,
19091,6654,
20608,5108,
19998,1493,
13992,6976,
5275,4901,
19331,1668,
14968,4409,
10137,3129,
14140,3777,
16970,7228,
5247,1216,
8728,1,
6067,2359,
10044,3110,1
17473,7745,
19715,9510,
11135,5436,
15865,2679,
7308,4527,
9667,2923,
145,4245,
15365,5839,
4263,966,
10753,8652,
17379,3472,
3093,5436,
16564,6795,
2003,5744,
17734,4289,
13505,4766,
15429,5883,
11245,5740,
13734,4597,
16108,6398,
11279,3620,
7185,4042,
9218,641,
10424,1513,
6516,1903,
18633,1068,
13669,2256,
3842,665,
8158,2481,
16813,3426,
15306,5638,
17234,9759,
13934,5148,
18524,8725,
12490,1619,
19781,9519,
15738,1047,
5664,79,
786,845,
3604,770,
2953,377,
2486,155,
14032,5164,
8642,3011,
2428,3482,
5335,1375,
6504,1903,
6330,1823,
5103,10,
187,738,
12050,5641,
15923,6260,
1972,2167,
4186,2541,
2456,1392,
19788,7164,
20147,403,
2534,2716,
2862,1140,
14356,4417,
133,1252,
7,696,
3801,439,
6352,1138,
13248,471,
2113,827,
6038,1736,
471,3256,
10394,3453,
5894,1689,
2908,184,
13031,914,
10542,3386,
5049,377,
14046,2710,
4691,4861,
10245,3191,
3543,4600,
6542,1918,
12979,422,
9193,3040,
4155,929,
9557,2252,
20632,4245,
13855,4141,
5711,2691,
16453,6690,
17322,7584,
12869,9301,
13219,1446,
16423,2087,
20792,7532,
15884,4249,
6601,3758,
21123,9058,
13949,4151,
13776,4970,
19093,8253,
12166,2797,
14735,704,
5625,6811,
5425,357,
20609,7139,
20619,10065,
1871,493,
5708,2314,
17216,7467,
13993,955,
4681,5770,
14969,4607,
16786,7019,
6803,5635,
6671,460,
15867,6203,
1843,833,
17440,7716,
7404,2619,
12409,34,
14213,2187,
5277,5110,
19812,9448,
4224,1166,
10151,3126,
5249,184,
15422,3072,
8729,6036,
17769,6690,
7309,812,
13536,2604,
2825,207,
11017,2599,
5354,5393,1
7190,1077,
12058,1240,
18843,3455,
15430,7875,
9562,1136,
2836,4869,
11246,9292,
5636,1600,
10127,2964,
13735,4945,
4673,1152,
16302,6555,
13260,1430,
4599,1103,
11294,3633,
7289,1447,
16229,2841,1
1177,502,1
7499,971,
8873,5521,
9448,3061,
9755,4600,
6417,641,
13677,4896,
14124,1343,
10188,529,
15319,7570,
17271,3104,
20139,9746,
15927,6257,
18526,3453,
12491,3115,
19806,5184,
15739,6092,
17523,8093,
7739,6018,
3608,47,
2954,3362,
2487,518,
3466,600,
3153,3,
2809,357,
787,10,
8645,1931,
3931,749,
940,9313,
6506,2487,
6331,2559,
5104,182,
3379,737,
8392,2535,
1973,9225,
4194,5383,
2459,845,
19980,9906,
15924,6261,
20148,9997,
11602,10048,
2863,3551,
10204,2800,
11136,2090,
5027,3487,
254,137,
4373,3241,
10341,3245,
2005,2603,
8202,2494,
3843,663,
8466,37,
6034,1744,
15377,5857,
188,738,
10427,3149,
9,4951,
3919,554,
6353,4501,
13310,5391,
2114,664,
1149,1369,
14377,663,
14122,5253,
10668,7348,
20916,6108,
111,2536,
12870,608,
5789,4300,
19503,826,
16490,9271,
6602,2276,
14043,5170,
5426,610,
17405,7674,
5628,10571,
16740,8478,
20793,10227,
3216,684,
13875,3328,
6339,8369,
15885,6222,
5714,2851,
21125,4379,
12246,4147,
1844,166,
14057,2151,
4225,936,
20745,9624,
20611,489,
7198,3030,
20629,8919,
8808,2540,
17315,4280,
6672,460,
16787,7544,
15869,2702,
3065,5378,
17715,7978,
17441,7713,
12060,9308,
14439,768,
782,2063,1
2467,545,
10152,3127,
12410,4409,
3498,750,
20259,9968,
4674,1101,
13683,2137,
17770,6691,
5252,1464,
6419,876,
15458,9575,
3932,861,
11137,2091,
8778,2622,
5029,610,
8937,8277,
13561,8493,
255,484,
11018,4312,
15435,7885,
7191,4690,
4374,885,
11248,9264,
13736,4946,
4309,1372,
10425,1680,
18844,2569,
8204,2468,
10306,1140,
16303,4856,
4770,485,
11345,1535,
4045,874,
14147,9487,
15320,5703,
17272,3105,
20140,6160,
15928,4715,
18534,3257,
12492,3115,
19807,5323,
15774,2657,
17535,9295,
3470,8937,
3609,1960,
3132,359,
3154,1451,
2810,1399,
789,10,
8648,2379,
5338,350,
1755,60,
6508,1903,
6035,2587,
5106,1382,
3382,47,
9867,3160,
8397,37,
1974,9226,
5724,3583,
2460,3854,
20021,662,
