town_location_id,geom,town
243,"{""type"":""Point"",""coordinates"":[-1.581739165,52.345016514]}",Kenilworth
244,"{""type"":""Point"",""coordinates"":[1.1526345,52.0579495]}",Ipswich
245,"{""type"":""Point"",""coordinates"":[-7.9794599,52.865196]}",Ireland
246,"{""type"":""Point"",""coordinates"":[-4.5591148,54.1936805]}",Isle of Man
247,"{""type"":""Point"",""coordinates"":[-0.0999051,51.5384287]}",Islington
248,"{""type"":""Point"",""coordinates"":[139.2394179,36.5748441]}",Japan
249,"{""type"":""Point"",""coordinates"":[-2.5553768,55.4776435]}",Jedburgh
250,"{""type"":""Point"",""coordinates"":[-2.0242837,53.1057636]}",Leek
251,"{""type"":""Point"",""coordinates"":[-1.536404,52.2913394]}",Leamington
252,"{""type"":""Point"",""coordinates"":[-2.1358386,49.2214561]}",Jersey
253,"{""type"":""Point"",""coordinates"":[-1.938708596,53.86764515]}",Keighley
254,"{""type"":""Point"",""coordinates"":[-2.747183,54.3289795]}",Kendal
255,"{""type"":""Point"",""coordinates"":[-0.1058829,51.4882861]}",Kennington
256,"{""type"":""Point"",""coordinates"":[-3.137609,54.6009281]}",Keswick
257,"{""type"":""Point"",""coordinates"":[-0.097053543,51.520485249]}",London EC2
258,"{""type"":""Point"",""coordinates"":[-1.9308887,52.0914249]}",Kickwall
259,"{""type"":""Point"",""coordinates"":[-2.2478582,52.3880787]}",Kidderminster
260,"{""type"":""Point"",""coordinates"":[-2.507144963,53.24091095]}",Leftwich 
261,"{""type"":""Point"",""coordinates"":[-2.99168,53.4071991]}",Liverpool W
262,"{""type"":""Point"",""coordinates"":[-4.4964652,55.6100589]}",Kilmarnock
263,"{""type"":""Point"",""coordinates"":[-4.5269606,55.6383988]}",Kilmaurs
264,"{""type"":""Point"",""coordinates"":[-0.38139867,52.30345885]}",Kimbolton
265,"{""type"":""Point"",""coordinates"":[-0.728267468,52.399475573]}",Kettering
266,"{""type"":""Point"",""coordinates"":[-0.203120854,53.1823034]}",Lincolnshire
267,"{""type"":""Point"",""coordinates"":[-4.466525144,50.45835615]}",Liskeard
268,"{""type"":""Point"",""coordinates"":[-2.99168,53.4071991]}",Liverpool
269,"{""type"":""Point"",""coordinates"":[-3.1709492,55.9725499]}",Leith
270,"{""type"":""Point"",""coordinates"":[-0.2305199,51.9767243]}",Letchworth
271,"{""type"":""Point"",""coordinates"":[-1.8270091,54.3105988]}",Leyburn
272,"{""type"":""Point"",""coordinates"":[-1.1330789,52.6361398]}",Leicester
273,"{""type"":""Point"",""coordinates"":[-0.259581344,51.534667856]}",London  NW10
